what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1340317635200
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1340317635988
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1340317646209
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1340317656548
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1340317657914
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1340317661256
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1340317665455
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340317686683
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340317691147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340317696956
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340317706463
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340317714788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340317750165
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1340317760640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340317763468
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340317767277
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1340317769120
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1340317775212
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1340317775303
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1340317778656
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1340317778656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340317800884
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340317829526
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340317842869
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318106053
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1340318133389
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318138795
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318293401
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1340318299899
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318304356
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318349724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318350483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318460710
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318470979
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318478940
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1340318484167
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1340318484270
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1340318486305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318492507
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318495029
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318504669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318585398
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1340318593617
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318604459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318608516
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1340318610316
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1340318615903
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1340318619890
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1340318622507
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1340318645365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1340318645584
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1340318650680
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1340318654418
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1340318655819
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340318656031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1340318658118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318683867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318685589
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318686004
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318703031
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318717676
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318722206
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1340318724204
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1340318726239
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1340318727715
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1340318731832
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1340318733995
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1340318738727
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1340318740135
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1340318741133
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1340318744332
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1340318746152
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318751148
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318755224
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318761220
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318763105
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318782269
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318849801
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1340318852285
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1340318852343
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1340318852353
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1340318858118
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1340318858280
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1340318858295
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1340318858368
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1340318858383
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318864332
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1340318899768
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1340318899768
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318899820
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318903588
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318905684
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340318906130
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340319014604
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340319015202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340319207108
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340319208316
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340319224844
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340319236148
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340321259102
